ID_CLIENTE,SAFRA_REF,PROBABILIDADE_INADIMPLENCIA
5058298901476893676,2021-07,1.9236208e-05
274692171162531764,2021-07,1.4446866e-05
274692171162531764,2021-07,1.4446866e-05
274692171162531764,2021-07,1.4446866e-05
465309249432033993,2021-07,1.5412938e-05
465309249432033993,2021-07,1.5412938e-05
465309249432033993,2021-07,1.9236208e-05
465309249432033993,2021-07,1.9236208e-05
5883155883105348987,2021-07,1.1309326e-05
5883155883105348987,2021-07,1.1309326e-05
4489904752023469353,2021-07,1.4446866e-05
3355881107559250653,2021-07,1.1309326e-05
3355881107559250653,2021-07,1.0600464e-05
3355881107559250653,2021-07,1.0600464e-05
3355881107559250653,2021-07,1.0600464e-05
3355881107559250653,2021-07,1.0600464e-05
3355881107559250653,2021-07,1.0600464e-05
3355881107559250653,2021-07,1.0600464e-05
6330043096034525408,2021-07,1.1785834e-05
6330043096034525408,2021-07,1.4446866e-05
6964108750473070287,2021-07,1.4446866e-05
6964108750473070287,2021-07,1.4446866e-05
6964108750473070287,2021-07,1.4446866e-05
6964108750473070287,2021-07,1.4446866e-05
6964108750473070287,2021-07,1.4446866e-05
6964108750473070287,2021-07,1.4446866e-05
6964108750473070287,2021-07,1.4446866e-05
6964108750473070287,2021-07,1.4446866e-05
6964108750473070287,2021-07,1.4446866e-05
6964108750473070287,2021-07,1.4446866e-05
6964108750473070287,2021-07,1.4446866e-05
6964108750473070287,2021-07,1.4446866e-05
6964108750473070287,2021-07,1.4446866e-05
6964108750473070287,2021-07,1.4446866e-05
6964108750473070287,2021-07,1.4446866e-05
6964108750473070287,2021-07,1.4446866e-05
4008627434689715639,2021-07,1.9236208e-05
4008627434689715639,2021-07,1.9236208e-05
4008627434689715639,2021-07,1.9236208e-05
5757271354816214865,2021-07,1.1785834e-05
5757271354816214865,2021-07,1.9236208e-05
5757271354816214865,2021-07,1.1785834e-05
5757271354816214865,2021-07,1.1785834e-05
5757271354816214865,2021-07,1.1785834e-05
5757271354816214865,2021-07,1.9236208e-05
5757271354816214865,2021-07,1.1785834e-05
5757271354816214865,2021-07,1.1785834e-05
5757271354816214865,2021-07,1.1785834e-05
5757271354816214865,2021-07,1.4446866e-05
5757271354816214865,2021-07,1.4446866e-05
5757271354816214865,2021-07,1.9236208e-05
5757271354816214865,2021-07,1.4446866e-05
